pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,origin
55 Cnc f,260.98,0.792,0.142,,46.87969003,5317.89,0.964411,0.974708,0.3833,,Exoplanet
6 Lyn b,934.3,2.11,0.073,,638.8383,4938.0,5.2,1.44,,,Exoplanet
6 Lyn b,874.774,2.18,0.125,,702.4043,,5.2,1.82,,,Exoplanet
6 Lyn b,919.86,2.028,0.042,,597.83523357,4941.0,4.94,1.32,-0.17,,Exoplanet
6 Lyn b,899.0,2.2,0.134,,762.8,4978.0,5.2,1.7,-0.13,,Exoplanet
61 Vir b,4.21487,0.04956,0.099,,5.11703735,5585.57,1.03251,0.914072,0.0275,,Exoplanet
61 Vir b,4.215,0.050201,0.12,,5.1,5577.0,0.963,0.942,-0.01,,Exoplanet
61 Vir c,38.0957,0.2151,0.068,,16.11390023,5585.57,1.03251,0.914072,0.0275,,Exoplanet
61 Vir c,38.021,0.2175,0.14,,18.2,5577.0,0.963,0.942,-0.01,,Exoplanet
61 Vir d,123.01,0.476,0.35,,22.9,5577.0,0.963,0.942,-0.01,,Exoplanet
7 CMa b,763.0,1.9,0.14,,826.3,4792.0,2.3,1.52,0.21,,Exoplanet
7 CMa b,796.0,1.93,0.22,,781.8618,4794.52,4.90843,,0.0882,,Exoplanet
7 CMa b,735.1,1.758,0.06,,587.9855,4826.0,4.87,1.34,0.21,,Exoplanet
7 CMa b,,1.8,,,616.5,,5.198,1.439,,,Exoplanet
7 CMa c,996.0,2.153,0.08,,276.5121,4826.0,4.87,1.34,0.21,,Exoplanet
7 CMa c,,2.205,,,289.9,,5.198,1.439,,,Exoplanet
70 Vir b,116.689,0.456,0.397,,2084.88,,,,,,Exoplanet
70 Vir b,116.6884,0.484,0.4007,,2380.45,5545.0,,1.11,-0.012,,Exoplanet
70 Vir b,116.6884,0.48,0.4,,2421.8646,5531.0,1.84,1.14,-0.06,,Exoplanet
70 Vir b,116.69335,0.4765,0.3989,,2297.89938261,5481.86,1.921943,1.06055,-0.0402,,Exoplanet
70 Vir b,116.688,0.481,0.3988,,2357.02728,5495.0,1.89,1.09,,,Exoplanet
70 Vir b,116.6926,0.481,0.399,,2351.942,5439.0,1.94,1.09,-0.09,,Exoplanet
75 Cet b,696.62,1.912,0.093,,787.89662095,4809.0,10.38,1.92,0.1,,Exoplanet
75 Cet b,691.9,2.1,0.117,,953.49,4846.0,10.5,2.49,0.0,,Exoplanet
75 Cet c,2051.62,3.929,0.023,,289.85950718,4809.0,10.38,1.92,0.1,,Exoplanet
8 UMi b,93.4,0.49,0.06,,476.745,4847.4,9.9,1.8,-0.03,,Exoplanet
8 UMi b,93.4,0.49,0.06,,416.3573,4847.0,10.3,1.44,-0.03,,Exoplanet
81 Cet b,,2.17,,,1274.4,,,1.6,,,Exoplanet
81 Cet b,1005.57,2.104,0.037,,1051.05854195,4734.0,11.21,1.23,-0.11,,Exoplanet
81 Cet b,952.7,2.5,0.206,,1684.4,4785.0,11.0,2.4,-0.06,,Exoplanet
91 Aqr b,181.4,0.7,0.027,,1017.0,4665.0,11.0,1.4,-0.03,,Exoplanet
AB Aur b,,93.9,0.4,,2860.455663,9770.0,,2.4,,,Exoplanet
AB Pic b,,260.0,,,4290.5,,,,,,Exoplanet
AF Lep b,8030.0,8.4,0.24,,1017.0509024,6130.0,1.25,1.2,0.19,,Exoplanet
AF Lep b,9060.0,9.3,0.32,,1366.6621501,6140.0,,1.13,,,Exoplanet
AF Lep b,7520.0,7.99,0.47,,1664.46736746,6100.0,1.25,1.201,,1400.0,Exoplanet
AT2021ueyL b,4168.69,4.01,,,425.89006538,3680.0,,0.49,,,Exoplanet
AU Mic b,8.46321,0.066,0.1,4.203375,57.2094,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,8.463,,0.04,,11.7,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,8.4631427,,,,10.2,3665.0,0.82,0.6,0.12,,Exoplanet
AU Mic b,8.46308,0.0649,0.00577,3.95677019,,3678.0,0.744,0.51,0.23,600.0,Exoplanet
AU Mic b,8.46321,,0.0,,,,,,,,Exoplanet
AU Mic b,8.463,0.0645,0.0,4.07,17.0,3700.0,0.75,0.5,,593.0,Exoplanet
AU Mic b,8.46321,,,,17.1,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,,,,4.02692583,,3588.0,0.698009,,,754.62,Exoplanet
AU Mic b,8.4630004,0.0644,0.12,4.19,,,0.75,,,,Exoplanet
AU Mic b,8.4629991,0.0645,0.186,,20.12,,,0.5,,,Exoplanet
AU Mic c,18.85969,0.1108,0.00338,2.52202066,,3678.0,0.744,0.51,0.23,459.0,Exoplanet
AU Mic c,18.859019,,0.041,,22.2,3700.0,0.75,0.5,,,Exoplanet
AU Mic c,18.859019,0.1101,0.0,3.24,13.6,3700.0,0.75,0.5,,454.0,Exoplanet
AU Mic c,18.858982,0.11,0.13,2.79,,,0.75,,,,Exoplanet
AU Mic c,18.858991,0.1101,,,9.6,,,0.5,,,Exoplanet
AU Mic c,18.85882,,,,14.2,3665.0,0.82,0.6,0.12,,Exoplanet
AU Mic d,12.73596,,0.00305,,1.053,3678.0,0.744,0.51,0.23,,Exoplanet
BD+03 2562 b,481.9,1.3,0.2,,2034.112,4095.0,32.35,1.14,-0.71,,Exoplanet
BD+05 4868 A b,1.271869,0.0208,,,6.2,4596.0,0.69,0.7,-0.05,1820.0,Exoplanet
BD+14 4559 b,268.94,0.78,0.29,,330.5432,4864.0,0.86,0.49,0.17,,Exoplanet
BD+14 4559 b,268.94,0.777,0.29,,467.19,5008.0,0.95,0.86,0.1,,Exoplanet
BD+15 2375 b,153.22,0.576,0.001,,337.21763,4649.0,8.95,1.08,-0.22,,Exoplanet
BD+15 2940 b,137.48,0.539,0.26,,352.78,4796.0,14.7,1.1,0.28,,Exoplanet
BD+20 2457 b,379.63,1.45,0.15,,6807.63,4137.0,49.0,2.8,-1.0,,Exoplanet
BD+20 2457 b,379.63,1.05,0.15,,17668.1697,4259.0,71.02,10.83,-0.79,,Exoplanet
BD+20 2457 c,621.99,2.01,0.18,,3963.17,4137.0,49.0,2.8,-1.0,,Exoplanet
BD+20 274 b,578.2,1.3,0.21,,1334.886,4296.0,17.3,0.8,-0.46,,Exoplanet
BD+20 594 b,41.688644,,,2.35545351,,5703.0,0.956122,0.963861,-0.06,,Exoplanet
BD+20 594 b,41.6855,,0.0,2.57807,22.2481,5766.0,1.08,1.67,-0.15,,Exoplanet
BD+20 594 b,41.6855,0.241,0.0,2.23,16.3,5766.0,0.928,0.961,-0.15,546.0,Exoplanet
BD+45 564 b,307.88,0.83,0.12,,432.24663352,5004.0,,0.81,-0.09,,Exoplanet
BD+48 738 b,392.6,1.0,0.2,,289.2253,4414.0,11.0,0.74,-0.2,,Exoplanet
BD+48 740 b,733.0,1.7,0.76,,540.311,4534.0,10.33,1.09,-0.13,,Exoplanet
BD+49 828 b,2590.0,4.2,0.35,,508.5,4943.0,7.6,1.52,-0.19,,Exoplanet
BD+55 362 b,265.59,0.78,0.27,,228.83645304,5012.0,,0.909,0.18,,Exoplanet
BD+60 1417 b,,1662.0,,14.68376472,4767.426105,4993.0,0.797,1.0,,1303.0,Exoplanet
BD+63 1405 b,1198.48,2.06,0.88,,1258.60049172,5000.0,,0.816,-0.09,,Exoplanet
BD+63 1405 b,1230.0,2.115,0.891,,3305.4154328,5000.0,,0.816,-0.09,,Exoplanet
BD-06 1339 b,3.8728,0.0428,0.0,,8.5,4324.0,,0.7,-0.14,,Exoplanet
BD-06 1339 c,125.94,0.435,0.31,,53.0,4324.0,,0.7,-0.14,,Exoplanet
BD-08 2823 b,5.6,0.06,0.15,,12.7132,4816.0,0.71,0.5,-0.06,,Exoplanet
BD-08 2823 b,5.6,0.056,0.15,,14.4,4746.0,,0.74,-0.07,,Exoplanet
BD-08 2823 c,237.6,0.68,0.19,,104.0,4746.0,,0.74,-0.07,,Exoplanet
BD-10 3166 b,3.48777,0.04,0.02,,187.5197,5393.0,0.91,1.47,0.38,,Exoplanet
BD-10 3166 b,3.487905,0.045,0.022,,142.70495474,5382.64,0.969745,0.999531,0.37,,Exoplanet
BD-10 3166 b,3.487,0.046,0.05,,152.55,5400.0,,1.1,0.5,,Exoplanet
BD-10 3166 b,3.48777,0.0452,0.019,,145.56,5393.0,,1.01,0.382,,Exoplanet
BD-11 4672 b,1634.0,2.36,0.05,,206.5895,4550.0,0.639,0.651,-0.35,,Exoplanet
BD-11 4672 b,1667.0,2.28,0.05,,168.44,4475.0,0.52,0.571,-0.48,,Exoplanet
BD-11 4672 c,74.2,0.3,0.4,,15.37,4550.0,0.639,0.651,-0.35,,Exoplanet
BD-13 2130 b,714.29999,1.66,0.21,,3108.3774,4545.0,19.17,2.12,-0.08,,Exoplanet
BD-13 2130 b,714.3,2.1,0.21,,3368.998,,,2.4,,,Exoplanet
BD-14 3065 b,4.2889731,0.0656,0.066,21.59,3932.0,6935.0,2.35,1.41,-0.34,2001.0,Exoplanet
BD-14 3065 b,4.2889696,,,20.7112,,6736.9,2.61,,,1404.0,Exoplanet
BD-17 63 b,655.59998,1.34,0.54,,905.8155,4665.0,0.74,0.31,0.01,,Exoplanet
BD-17 63 b,655.57,,0.5439,,1639.99458012,,,0.741,,,Exoplanet
BD-17 63 b,649.0,,0.28,,1366.6621501,,,,,,Exoplanet
BD-17 63 b,655.6,1.34,0.54,,1620.9,4714.0,0.69,0.74,-0.03,,Exoplanet
BD-210397 b,1891.0,2.63,0.1,,214.0,4051.0,0.747,0.679,0.12,,Exoplanet
BD-210397 c,6240.0,5.9,0.43,,1525.5763536,,,0.69,,,Exoplanet
BD-210397 c,6360.0,5.9,0.1,,759.0,4051.0,0.747,0.679,0.12,,Exoplanet
Barnard b,3.1533,0.02294,0.16,,0.37,3195.0,0.185,0.162,-0.56,400.0,Exoplanet
Barnard b,3.1542,0.0229,0.03,,0.299,3195.0,0.185,0.162,-0.56,438.0,Exoplanet
Barnard c,4.1244,0.0274,0.08,,0.335,3195.0,0.185,0.162,-0.56,400.0,Exoplanet
Barnard d,2.3402,0.0188,0.04,,0.263,3195.0,0.185,0.162,-0.56,483.0,Exoplanet
Barnard e,6.7392,0.0381,0.04,,0.193,3195.0,0.185,0.162,-0.56,340.0,Exoplanet
CD Cet b,2.2907,0.0185,,,3.95,3130.0,0.175,0.161,0.13,464.0,Exoplanet
CFBDSIR J145829+101343 b,10037.5,2.6,,,3337.1,580.5,,0.021,,370.0,Exoplanet
CFHTWIR-Oph 98 b,8040000.0,200.0,,20.8487041,2479.0615746,2320.0,0.245,0.0147,,1800.0,Exoplanet
CHXR 73 b,,210.0,,,3994.486,,,0.35,,,Exoplanet
CI Tau c,25.2,0.17,0.58,,1144.1822652,,,,,,Exoplanet
COCONUTS-2 b,402000000.0,7506.0,,12.44196858,2002.3189641,3406.0,0.388,0.37,0.0,434.0,Exoplanet
COCONUTS-2 b,,,,12.44196858,2542.627256,3406.0,0.388,0.37,0.0,,Exoplanet
CT Cha b,,440.0,,24.66,5403.0,,,,,2600.0,Exoplanet
CoRoT-1 b,1.508968772,,,,,,,,,,Exoplanet
CoRoT-1 b,1.5089557,0.0261,0.0,16.58932,359.1479,5950.0,1.14,1.03,,,Exoplanet
CoRoT-1 b,1.508976552,0.0259,0.071,15.91678,340.0781,5950.0,,,-0.3,1834.0,Exoplanet
CoRoT-1 b,1.5089682,0.02752,0.036,19.223435,390.9309,6298.0,1.23,1.22,0.06,,Exoplanet
CoRoT-1 b,1.5089635,,,20.5944,,5950.0,1.29,,,2036.0,Exoplanet
CoRoT-1 b,1.5089686,0.02536,,17.385159,327.3649,5950.0,1.131,0.95,-0.3,1915.0,Exoplanet
CoRoT-1 b,1.5089557,,0.0,16.7,327.35,5950.0,1.11,0.95,-0.3,1898.0,Exoplanet
CoRoT-10 b,13.2406,0.1055,0.524,10.87273,867.6759,5075.0,0.79,0.89,0.26,,Exoplanet
CoRoT-10 b,13.23412611048,,,7.38532555,,5025.0,0.548929,,,510.96,Exoplanet
CoRoT-10 b,13.2406,0.1055,0.53,10.87,874.0,5075.0,0.79,0.89,0.26,600.0,Exoplanet
CoRoT-10 b,13.2406,0.106,,10.547669,883.5674,5075.0,0.743,0.904,0.26,647.0,Exoplanet
CoRoT-11 b,2.99433,0.044,,15.984034,743.7222,6440.0,1.374,1.26,-0.03,1735.0,Exoplanet
CoRoT-11 b,2.994325,0.04407,0.36,16.02887,832.7146,6440.0,1.37,1.27,-0.03,,Exoplanet
