pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,pl_insol,origin,habitability_score,habitable,planet_index,total_planets,angle_deg,angle_rad,x,y
55 Cnc b,14.6,0.113,0.0,,254.25,,,,,700.0,,Exoplanet,0.0,No,74,43242,0.6160677119467185,0.010752409988698242,0.11299346785382257,0.0012149989165280732
55 Cnc b,14.653,0.115,0.02,,266.9772,,,0.95,0.27,,,Exoplanet,0.0,No,75,43242,0.6243929512973498,0.010897712826383354,0.1149931713592526,0.0012532121694139352
55 Cnc b,14.67,0.115,0.0197,,249.17872,,,0.95,,,,Exoplanet,0.0,No,76,43242,0.6327181906479811,0.011043015664068463,0.1149929880500483,0.0012699209902385686
55 Cnc b,14.648,0.11,0.051,,266.9772,5200.0,,0.85,0.23,,,Exoplanet,0.0,No,77,43242,0.6410434299986124,0.011188318501753575,0.10999311525591961,0.0012306893588492308
55 Cnc b,14.65171,0.1162,0.0048,,267.29369029,5317.89,0.964411,0.974708,0.3833,,,Exoplanet,0.0,No,78,43242,0.6493686693492439,0.01133362133943869,0.1161925370783736,0.0013169386055461238
55 Cnc b,14.465314,0.11339,0.0023,,266.966,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,79,43242,0.6576939086998751,0.011478924177123798,0.11338252962565233,0.0013015666283649502
55 Cnc b,14.65126,0.1138,0.0159,,260.61,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,80,43242,0.6660191480505064,0.01162422701480891,0.11379231160757852,0.0013228072436114453
55 Cnc b,14.6516,0.1134,0.0,,255.4,5172.0,0.943,0.905,0.35,,,Exoplanet,0.0,No,81,43242,0.6743443874011378,0.011769529852494022,0.1133921459027361,0.0013346338721198084
55 Cnc b,14.651,0.1134,0.004,,254.25,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,82,43242,0.6826696267517691,0.011914832690179133,0.11339195077962853,0.0013511100585436977
55 Cnc b,14.65162,0.115,0.014,,261.881,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,83,43242,0.6909948661024005,0.012060135527864245,0.11499163690640157,0.0013868819655273134
